"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"3",10720061,"H","SW","SW corner of COLUMBUS AV and W 80 ST","B","MN072",991103.34782998,224397.89016472,991140.1072709,224403.48825063,"COLUMBUS AV","W 80 ST",5689,"POINT (-73.9752530707 40.7825938981)"
"4",10630050,"H","NE","NE corner of 3 AV and E 52 ST","B","MN063",992686.87583089,215111.26044405,992645.43267231,215099.39235754,"3 AV","E 52 ST",5285,"POINT (-73.9695467272 40.7571031488)"
"5",10110042,"H","","","P","MN011",979735.63696964,198413.84469196,NA,NA,"","",4666,"POINT (-74.0162835878 40.7112757283)"
"16",10720184,"H","Direction TBD","Location Description T/K","B","MN072",989912.73899072,224712.40692413,989929.45006112,224743.1681483,"Street Name TBD","",8126,"POINT (-73.9795520054 40.783458006)"
"17",10420027,"H","Direction TBD","Location Description T/K","B","MN042",985752.90971197,212905.33276931,985782.94016809,212888.71578589,"Street Name TBD","",858,"POINT (-73.9945756744 40.7510523351)"
"20",10610222,"H","NE","NE corner of PARK AV S and E 20 ST","B","MN061",987740.90540789,208285.03590755,987693.14598897,208263.13634504,"PARK AV S","E 20 ST",78849,"POINT (-73.987402967 40.7383702152)"
"24",40610083,"H","E","E corner of QUEENS BLVD and 67 DR","D","QW061",1025517.37939548,203867.48995264,1025445.56982781,203884.8508103,"QUEENS BLVD","67 DR",11445,"POINT (-73.8511127056 40.7261495645)"
"25",41210070,"H","N","N corner of JAMAICA AV and 163 ST","B","QE121",1040618.89249948,196152.25702354,1040596.88959073,196116.6616223,"JAMAICA AV","163 ST",13541,"POINT (-73.7966931999 40.7048898107)"
"39",31040041,"H","N","N corner of BAY RIDGE PKWY and 13 AV","D","BKS104",982185.1035274,165346.08208747,982188.74754898,165309.51162255,"BAY RIDGE PKWY","13 AV",15168,"POINT (-74.0074380818 40.6205129864)"
"46",10430259,"H","Direction TBD","Location Description T/K","B","MN043",988013.70046598,217726.84838872,987986.4040114,217677.91052199,"Street Name TBD","",1465,"POINT (-73.9864132936 40.7642854908)"
"50",10850010,"H","NE","NE corner of MADISON AV and E 89 ST","B","MN085",996121.69507673,224486.81387138,996082.01667839,224472.01173563,"MADISON AV","E 89 ST",4418,"POINT (-73.9571320372 40.782832654)"
"53",11010213,"H","SE","SE corner of FREDERICK DOUGLASS BOULEVARD and W 111 ST","B","MN101",995986.26457331,231111.4105303,995977.72226757,231160.96817397,"FREDERICK DOUGLASS BOULEVARD","W 111 ST",21881,"POINT (-73.9576094924 40.8010155648)"
"62",10510566,"H","Direction TBD","Location Description T/K","B","MN051",987673.49346922,210704.34438913,987653.29917689,210668.36806152,"Street Name TBD","",2296,"POINT (-73.9876449935 40.7450106407)"
"66",30820048,"H","SW","SW corner of NOSTRAND AV and PACIFIC ST","D","BKN082",998129.38102198,186112.28432138,998157.18345982,186147.6165998,"NOSTRAND AV","PACIFIC ST",22022,"POINT (-73.9499615625 40.6775010669)"
"74",10810244,"H","SE","SE corner of 3 AV and E 61 ST","B","MN081",993790.1236244,217117.06220672,993785.07606231,217153.36790839,"3 AV","E 61 ST",3657,"POINT (-73.96556166 40.7626074387)"
"82",10410176,"H","NW","NW corner of 8 AV and W 14 ST","B","MN041",983461.31127681,208900.69445314,983531.19237064,208833.47313088,"8 AV","W 14 ST",840,"POINT (-74.0028460783 40.740060699)"
"84",50130151,"H","NW","NW corner of POST AV and JEWETT AV","D","SI013",947957.40918764,169255.84624955,948004.8195259,169188.17545313,"POST AV","JEWETT AV",13914,"POINT (-74.1307525438 40.6311703633)"
"90",10430395,"H","NW","NW corner of W 41 ST and DYER AV","P","MN043",985782.42441672,215649.67603388,985790.69867839,215606.82900672,"W 41 ST","DYER AV",56319,"POINT (-73.994468524 40.7585848546)"
"96",10510516,"H","Direction TBD","Location Description T/K","B","MN051",986614.6793139,212927.01284406,986638.17463509,212969.55486038,"Street Name TBD","",2218,"POINT (-73.9914653543 40.751111653)"
"101",40230017,"H","S","S corner of COURT SQ and JACKSON AVE","B","QW023",999727.49823256,211108.29600905,999753.93190673,211202.4779073,"COURT SQ","JACKSON AVE",14604,"POINT (-73.9441425111 40.7461065048)"
"103",10230078,"H","NE","NE corner of AVE OF THE AMERICAS and W 13 ST","B","MN023",985068.97013497,207676.84158589,985027.75105731,207666.30354922,"AVE OF THE AMERICAS","W 13 ST",479,"POINT (-73.9970447966 40.7367015234)"
"105",10110107,"H","N","N corner of WATER ST and COENTIES SLIP","B","MN011",981419.33668622,195572.58757922,981418.03058648,195539.59551922,"WATER ST","COENTIES SLIP",5431,"POINT (-74.010209184 40.7034778479)"
"107",10510259,"H","NW","NW corner of MADISON AV and E 31 ST","B","MN051",988569.18754397,211097.79274921,988575.39488064,211045.50282755,"MADISON AV","E 31 ST",1781,"POINT (-73.9844122808 40.7460901657)"
"113",40230106,"H","NE","NE corner of GREENPOINT AV and 44 ST","D","QW023",1006208.32319739,209478.11423005,1006181.34096789,209427.79280838,"GREENPOINT AV","44 ST",8468,"POINT (-73.9207588827 40.7416183474)"
"123",20510048,"H","NE","NE corner of UNIVERSITY AVE and W 181 ST","O","BX051",1009325.90456064,251640.96133463,1009302.94200814,251618.87017147,"UNIVERSITY AVE","W 181 ST",23060,"POINT (-73.9093510038 40.8573354878)"
"124",40220006,"H","NE","NE corner of QUEENS BLVD and 45 ST","B","QW022",1006612.42737606,210212.5704383,1006552.44521256,210164.46161063,"QUEENS BLVD","45 ST",16311,"POINT (-73.9192981488 40.743633233)"
"127",10630081,"H","NW","NW corner of SUTTON PL S and E 55 ST","B","MN063",994863.87836665,214804.99662088,994863.16445731,214766.61415172,"SUTTON PL S","E 55 ST",2816,"POINT (-73.9616892256 40.7562601875)"
"136",10520149,"H","Direction TBD","Location Description T/K","B","MN052",989652.6712694,215174.27573797,989674.26117333,215213.14652654,"Street Name TBD","",2154,"POINT (-73.9804987703 40.7572784844)"
"137",10340209,"H","NE","NE corner of 3 AV and ST MARKS PLACE","B","MN034",987166.47611056,205050.0728893,987088.72790648,205064.22542004,"3 AV","ST MARKS PLACE",56308,"POINT (-73.9894772139 40.729491246)"
"140",10620011,"H","NW","NW corner of 2 AV and E 42 ST","B","MN062",991929.97380139,212546.65336855,991933.26546148,212505.84767588,"2 AV","E 42 ST",4499,"POINT (-73.9722817272 40.7500646433)"
"152",10830032,"H","NW","NW corner of 3 AV and E 79 ST","B","MN083",996058.24802515,221453.56928171,996058.0600334,221418.27440479,"3 AV","E 79 ST",4790,"POINT (-73.9573664713 40.7745072843)"
"154",10820201,"H","NW","NW corner of 3 AV and E 69 ST","B","MN082",994736.77953948,219079.9877428,994746.9504509,219047.84607481,"3 AV","E 69 ST",3284,"POINT (-73.9621413196 40.7679940893)"
"156",41330008,"H","SW","SW corner of JAMAICA AV and 218 ST","D","QE133",1057003.96668464,200828.9947173,1057030.46138231,200867.34765896,"JAMAICA AV","218 ST",16819,"POINT (-73.7375466046 40.717606737)"
"158",20430010,"H","Direction TBD","Location Description T/K","P","BX043",1008032.78641197,246536.70907597,1007986.088843,246562.00726893,"Street Name TBD","",6249,"POINT (-73.9140437083 40.8433294114)"
"162",10520532,"H","SW","SW corner of MADISON AV and E 48 ST","B","MN052",990656.37890765,214912.24476597,990722.98901065,214925.80674672,"MADISON AV","E 48 ST",2658,"POINT (-73.976876084 40.7565586059)"
"166",40710087,"H","SW","SW corner of MAIN ST and 38 AV","D","QE071",1031111.53159298,216450.17902605,1031118.60703814,216473.42865147,"MAIN ST","38 AV",13273,"POINT (-73.8308421202 40.760657972)"
"169",41210051,"H","W","W corner of JAMAICA AV and MERRICK BLVD","B","QE121",1041300.40524407,196527.58468497,1041338.32413147,196504.83341813,"JAMAICA AV","MERRICK BLVD",15907,"POINT (-73.7942320035 40.7059156261)"
"170",40710009,"H","SW","SW corner of MAIN ST and ROOSEVELT AV","D","QE071",1031280.77961406,215979.05956146,1031285.1290148,216016.99911813,"MAIN ST","ROOSEVELT AV",11667,"POINT (-73.8302344764 40.7593639735)"
"171",41160002,"H","SW","SW corner of 56 AV and 223 ST","D","QE116",1051586.70455331,213902.13589379,1051616.2953734,213974.63738921,"56 AV","223 ST",12788,"POINT (-73.756957939 40.7535320365)"
"172",10230240,"H","S","S corner of GANSEVOORT ST and W 4 ST","B","MN023",983140.47136731,208598.09499271,983163.17801482,208649.1267148,"GANSEVOORT ST","W 4 ST",5972,"POINT (-74.0040038178 40.7392301042)"
"178",11010441,"H","NE","NE corner of FREDERICK DOUGLASS BOULEVARD and W 111 ST","B","MN101",996096.13213573,231183.19352321,995995.65530255,231193.1859573,"FREDERICK DOUGLASS BOULEVARD","W 111 ST",26903,"POINT (-73.9572125324 40.8012124428)"
"180",10520330,"H","Direction TBD","Location Description T/K","B","MN052",988133.48664373,212239.60641046,988117.53572689,212210.80140001,"Street Name TBD","",2335,"POINT (-73.9859840429 40.7492243592)"
"183",10510022,"H","NW","NW corner of PARK AV S and E 22 ST","B","MN051",987857.87827106,208798.26585221,987868.98881315,208739.75284588,"PARK AV S","E 22 ST",1107,"POINT (-73.9869805917 40.7397788572)"
"190",10850038,"H","SE","SE corner of E 96 ST and MADISON AV","B","MN085",996953.91552514,226008.08838788,996952.15601423,226045.21725063,"E 96 ST","MADISON AV",4820,"POINT (-73.9541240639 40.7870069894)"
"191",10220073,"H","NW","NW corner of BROADWAY and BLEECKER ST","B","MN022",985386.79725523,204040.9823878,985390.68340232,204000.72361004,"BROADWAY","BLEECKER ST",99,"POINT (-73.9958985513 40.7267219465)"
"197",10620325,"H","NE","NE corner of 2 AV and E 41 ST","B","MN062",991890.48273864,212237.73272654,991858.17374815,212214.47686754,"2 AV","E 41 ST",69202,"POINT (-73.9724246079 40.7492167683)"
"207",21110033,"H","SE","SE corner of MORRIS PARK AV and WALLACE AV","D","BX111",1022089.87378331,247394.23098296,1022056.96833731,247419.35757314,"MORRIS PARK AV","WALLACE AV",7345,"POINT (-73.8632334893 40.8456340061)"
"212",30430027,"H","S","S corner of WILSON AV and COVERT ST","D","BKN043",1009770.13595565,190856.66394022,1009751.93356423,190883.50279731,"WILSON AV","COVERT ST",20594,"POINT (-73.9079759542 40.6904973939)"
"219",10850100,"H","NW","NW corner of MADISON AV and E 94 ST","B","MN085",996662.86689465,225681.67860763,996662.19924507,225644.64062397,"MADISON AV","E 94 ST",5420,"POINT (-73.9551756915 40.7861114955)"
"221",10430343,"H","Direction TBD","Location Description T/K","B","MN043",985103.38312389,218572.41133013,985057.39998879,218598.07267798,"Street Name TBD","",5965,"POINT (-73.9969192367 40.7666071024)"
"230",10810279,"H","NE","NE corner of 1 AV and E 63 ST","D","MN081",995372.95116739,216956.36338113,995332.66811147,216936.73120254,"1 AV","E 63 ST",21274,"POINT (-73.9598481691 40.7621645121)"
"234",10710146,"H","SE","SE corner of COLUMBUS AV and W 68 ST","B","MN071",989638.2303534,221483.82479863,989627.02302674,221544.06811647,"COLUMBUS AV","W 68 ST",3944,"POINT (-73.9805458377 40.7745965726)"
"239",20710017,"H","S","S corner of W KINGSBRIDGE RD and AQUEDUCT AV W","D","BX071",1011878.90568823,255446.16533838,1011878.10418065,255513.65568897,"W KINGSBRIDGE RD","AQUEDUCT AV W",14481,"POINT (-73.9001062662 40.8677719966)"
"246",10220153,"H","SE","SE corner of WAVERLY PL and MERCER ST","B","MN022",985898.86184789,205164.16189997,985899.30771315,205202.66674422,"WAVERLY PL","MERCER ST",319,"POINT (-73.9940507992 40.7298047196)"
"247",31610040,"H","SW","SW corner of SARATOGA AV and LIVONIA AV","D","BKN161",1007657.60212298,180251.49715847,1007679.45739423,180291.49642231,"SARATOGA AV","LIVONIA AV",7202,"POINT (-73.9156304492 40.6613944551)"
"249",10620070,"H","NW","NW corner of 3 AV and E 29 ST","D","MN062",989655.59842889,209892.2403703,989654.15912731,209856.74536255,"3 AV","E 29 ST",5122,"POINT (-73.9804924505 40.7427806287)"
"260",10510381,"H","NE","NE corner of 8 AV and W 35 ST","B","MN051",986286.33646664,213581.98003805,986240.75059982,213563.53125605,"8 AV","W 35 ST",1686,"POINT (-73.9926502172 40.7529094538)"
"265",10810055,"H","SW","SW corner of 3 AV and E 69 ST","B","MN081",994691.33015531,219000.1926268,994728.68277089,219016.14666313,"3 AV","E 69 ST",4766,"POINT (-73.9623055219 40.7677751262)"
"267",10510073,"H","NE","NE corner of AVE OF THE AMERICAS and W 14 ST","B","MN051",985217.23230565,207929.78661805,985171.31704314,207926.58846171,"AVE OF THE AMERICAS","W 14 ST",1368,"POINT (-73.9965097653 40.73739578)"
"268",41140028,"H","N","N corner of LITTLE NECK PKWY and 39 RD","D","QE114",1055736.20872147,221358.86933988,1055760.07317506,221282.63359997,"LITTLE NECK PKWY","39 RD",11693,"POINT (-73.7419016905 40.7739661847)"
"270",41210225,"H","Direction TBD","Location Description T/K","B","QE121",1037640.69274724,195059.13125704,1037641.28626415,195029.69320864,"Street Name TBD","",20695,"POINT (-73.8074433629 40.7019079155)"
"277",10510480,"H","SE","SE corner of 5 AV and E 26 ST","B","MN051",987551.09246731,210041.6140873,987538.08396314,210103.39874063,"5 AV","E 26 ST",1990,"POINT (-73.9880870504 40.7431916583)"
"280",10850197,"H","SE","SE corner of YORK AV and E 90 ST","B","MN085",999440.42630014,222830.49238089,999430.3859659,222870.8797673,"YORK AV","E 90 ST",3482,"POINT (-73.94515205 40.7782814101)"
"287",10510395,"H","Direction TBD","Location Description T/K","B","MN051",987549.16300923,212570.89544605,987529.56480441,212536.65913161,"Street Name TBD","",1859,"POINT (-73.9880927727 40.7501339014)"
"288",31020068,"H","W","W corner of 5 AV and 81 ST","B","BKS102",977413.07271715,166976.38853814,977438.42601289,166999.6726123,"5 AV","81 ST",19542,"POINT (-74.0246293377 40.6249854394)"
"292",40160043,"H","S","S corner of 35 AV and 37 ST","D","QW016",1005400.86943173,214601.75129247,1005391.24346673,214643.96380647,"35 AV","37 ST",15591,"POINT (-73.9236566296 40.7556834036)"
"295",40520062,"H","SE","SE corner of FOREST AV and 70 AV","B","QW052",1011919.80094765,194691.18579872,1011888.41879256,194707.46168479,"FOREST AV","70 AV",37229,"POINT (-73.9002086486 40.7010157996)"
"302",10510095,"H","SW","SW corner of LEXINGTON AV and E 24 ST","B","MN051",988531.17482473,208905.49201572,988576.71049482,208936.36662588,"LEXINGTON AV","E 24 ST",1429,"POINT (-73.9845508621 40.740072866)"
"304",10520543,"H","SE","SE corner of VANDERBILT AV and E 47 ST","B","MN052",990897.07232389,214471.21776088,990900.33773731,214535.10542838,"VANDERBILT AV","E 47 ST",2666,"POINT (-73.9760077337 40.7553479215)"
"312",41150026,"H","SE","SE corner of SPRINGFIELD BLVD and HORACE HARDING EXPY","D","QE115",1051757.50408047,212224.5900363,1051698.38543232,212268.49939729,"SPRINGFIELD BLVD","HORACE HARDING EXPY",12056,"POINT (-73.756358307 40.7489263126)"
"317",21010048,"H","SW","SW corner of WESTCHESTER AV and BRUCKNER BLVD","D","BX101",1032147.64894331,250085.44574489,1032174.68104148,250177.4196423,"WESTCHESTER AV","BRUCKNER BLVD",8595,"POINT (-73.8268620387 40.8529717518)"
"321",10620316,"H","SW","SW corner of 3 AV and E 43 ST","B","MN062",991389.12580173,213039.27344629,991422.84653482,213049.28490922,"3 AV","E 43 ST",59198,"POINT (-73.9742332124 40.7514172142)"
"322",10520810,"H","Direction TBD","Location Description T/K","B","MN052",990798.49214047,215951.93199106,990778.78797795,215962.68244409,"Street Name TBD","",79262,"POINT (-73.9763621116 40.7594121775)"
"332",30330149,"H","Direction TBD","Location Description T/K","B","BKN033",1000751.96698414,186928.13570805,1000754.79659206,186966.57889292,"Street Name TBD","",13704,"POINT (-73.9405045274 40.6797358933)"
"334",30230036,"H","NW","NW corner of GREENE AV and CLASSON AV","D","BKN023",995361.1303249,189757.68385471,995400.22375065,189740.64090981,"GREENE AV","CLASSON AV",10051,"POINT (-73.9599357457 40.6875107653)"
"350",31020014,"H","E","E corner of 5 AV and 76 ST","B","BKS102",977950.01258814,168344.4592928,977903.32304898,168331.10991006,"5 AV","76 ST",17987,"POINT (-74.0226963432 40.6287409041)"
"351",10730227,"H","NW","NW corner of W 86 ST and BROADWAY","B","MN073",990731.06412573,226597.63970222,990726.73867506,226534.51089147,"W 86 ST","BROADWAY",37725,"POINT (-73.9765952371 40.7886319041)"
"358",10520793,"H","NE","NE corner of MADISON AV and E 48 ST","B","MN052",990843.35720822,214941.64923471,990794.02233315,214932.90351731,"MADISON AV","E 48 ST",69217,"POINT (-73.9762011544 40.7566391763)"
"377",30310090,"H","SE","SE corner of MYRTLE AV and MARCUS GARVEY BLVD","D","BKN031",1000766.73663965,192924.22050063,1000720.16061731,192962.87527897,"MYRTLE AV","MARCUS GARVEY BLVD",13266,"POINT (-73.940436578 40.6961937386)"
"381",41370031,"H","SE","SE corner of MERRICK BLVD and 244 ST","P","QE137",1059322.74649589,184912.74013256,1059281.39191981,184969.87289231,"MERRICK BLVD","244 ST",20302,"POINT (-73.7293592608 40.6739011505)"
"382",10230202,"H","SW","SW corner of LAFAYETTE ST and WANAMAKER PL","B","MN023",986789.83841239,205445.18791272,986813.12806398,205456.39687979,"LAFAYETTE ST","WANAMAKER PL",6737,"POINT (-73.9908359917 40.7305758563)"
"389",30810148,"H","NW","NW corner of FRANKLIN AV and PARK PL","D","BKN081",996230.25719556,184942.31946972,996246.77389482,184923.40316896,"FRANKLIN AV","PARK PL",21922,"POINT (-73.9568104297 40.6742925515)"
"391",41330004,"H","Direction TBD","Location Description T/K","D","QE133",1057534.38130623,201374.35386279,1057561.9960035,201382.937341,"Street Name TBD","SPRINGFIELD BLVD",16606,"POINT (-73.7356272556 40.7190992321)"
"395",10410159,"H","SW","SW corner of 8 AV and W 15 ST","B","MN041",983611.61609431,209023.06428713,983646.87783481,209042.03570588,"8 AV","W 15 ST",970,"POINT (-74.0023036968 40.7403965859)"
"398",30210305,"H","SE","SE corner of YORK ST and PEARL ST","B","BKN021",987691.44028373,194819.33022746,987678.87764481,194858.3570523,"YORK ST","PEARL ST",38125,"POINT (-73.9875883482 40.7014101166)"
"404",10510617,"H","Direction TBD","Location Description T/K","B","MN051",988352.08594406,208846.14436539,988333.52035763,208812.90935978,"Street Name TBD","",55101,"POINT (-73.9851971622 40.7399100564)"
"409",40230016,"H","E","E corner of COURT SQ and JACKSON AVE","B","QW023",999868.13476232,211197.33060788,999806.92195822,211221.91750097,"COURT SQ","JACKSON AVE",14599,"POINT (-73.9436347546 40.7463506351)"
"413",31010017,"H","E","E corner of 5 AV and 68 ST","B","BKS101",978563.7918724,170330.90118605,978525.82213207,170326.32606396,"5 AV","68 ST",19490,"POINT (-74.0204868149 40.6341936821)"
"414",40820049,"H","N","N corner of HILLSIDE AV and 168 PL","D","QE082",1041403.06153481,198219.38805988,1041390.55171731,198189.21325147,"HILLSIDE AV","168 PL",18512,"POINT (-73.7938473863 40.7105585507)"
"420",10810016,"H","SW","SW corner of LEXINGTON AV and E 62 ST","B","MN081",993370.02341473,217643.82033955,993408.93147339,217660.61131647,"LEXINGTON AV","E 62 ST",4548,"POINT (-73.9670774406 40.7640536973)"
"421",10810212,"H","NE","NE corner of 3 AV and E 63 ST","B","MN081",994095.53279048,217655.86198214,994056.96495423,217644.44008897,"3 AV","E 63 ST",3426,"POINT (-73.9644583921 40.7640859703)"
"424",20610006,"H","Direction TBD","Location Description T/K","B","BX061",1014431.24310322,253064.74490438,1014442.79941605,253081.23768669,"Street Name TBD","",9571,"POINT (-73.8908888925 40.8612273661)"
"436",20710038,"H","SE","SE corner of GRAND CONCOURSE and E 192 ST","D","BX071",1013148.3782149,254066.14874147,1013135.12922564,254110.40062146,"GRAND CONCOURSE","E 192 ST",14488,"POINT (-73.8955223781 40.863980208)"
"443",41360027,"H","NW","NW corner of MERRICK BLVD and 224 ST","D","QE136",1054783.95176773,186443.64061405,1054806.65349397,186396.27095813,"MERRICK BLVD","224 ST",16160,"POINT (-73.7457057103 40.6781404361)"
"453",10620289,"H","Direction TBD","Location Description T/K","D","MN062",991416.17233557,210279.60048796,991432.95586166,210310.22999296,"Street Name TBD","",2522,"POINT (-73.9741385357 40.7438425841)"
"462",21110079,"H","NW","NW corner of WHITE PLAINS RD and MARAN PL","B","BX111",1020785.87606323,250358.51803339,1020808.75561064,250336.59911397,"WHITE PLAINS RD","MARAN PL",7793,"POINT (-73.8679304316 40.85377558)"
"468",31730016,"H","NE","NE corner of UTICA AV and LENOX RD","D","BKN173",1003520.0903849,178079.85484822,1003493.18623923,178062.58027646,"UTICA AV","LENOX RD",20741,"POINT (-73.9305497522 40.6554437475)"
"470",31870045,"H","W","W corner of AV S and E 36 ST","D","BKS187",1003249.82780206,161440.85006855,1003274.55577098,161433.29234089,"AV S","E 36 ST",16292,"POINT (-73.9315706357 40.6097738032)"
"471",20620155,"H","E","E corner of BOSTON RD and BRONX PARK S","D","BX062",1018209.36349973,246683.25208996,1018172.35563864,246701.21670237,"BOSTON RD","BRONX PARK S",17792,"POINT (-73.8772246638 40.8438484173)"
"488",10710078,"H","SE","SE corner of BROADWAY and W 64 ST","B","MN071",989267.03457348,220493.70276313,989237.05333422,220555.45788896,"BROADWAY","W 64 ST",2796,"POINT (-73.9818867762 40.7718791652)"
"495",10630035,"H","SE","SE corner of LEXINGTON AV and E 51 ST","B","MN063",992056.87938748,215047.15788196,992050.82428148,215090.56002614,"LEXINGTON AV","E 51 ST",5091,"POINT (-73.9718208012 40.7569277824)"
"496",10520556,"H","Direction TBD","Location Description T/K","B","MN052",989753.2793359,215117.29750547,989775.3533111,215157.60923799,"Street Name TBD","",2474,"POINT (-73.9801356668 40.7571220316)"
"504",10810197,"H","SW","SW corner of YORK AV and E 62 ST","D","MN081",995703.53810464,216348.97778489,995747.78867231,216362.98235005,"YORK AV","E 62 ST",21242,"POINT (-73.9586558454 40.7604969728)"
"507",10820210,"H","NE","NE corner of 1 AV and E 69 ST","D","MN082",996117.07664764,218311.86559138,996090.21220006,218303.45123813,"1 AV","E 69 ST",20052,"POINT (-73.9571596188 40.7658840481)"
"512",31510059,"H","NW","NW corner of KINGS HWY and E 2 ST","B","BKS151",992254.23102689,159489.86414114,992272.34614815,159468.32251754,"KINGS HWY","E 2 ST",17816,"POINT (-73.971174444 40.6044355007)"
"514",10750142,"H","NE","NE corner of AMSTERDAM AV and W 108 ST","B","MN075",994089.93568881,231382.16851896,994044.91773422,231375.19674814,"AMSTERDAM AV","W 108 ST",3256,"POINT (-73.9644584925 40.8017610366)"
"538",40220118,"H","E","E corner of JACKSON AV and ORCHARD ST","B","QW022",1001255.08343197,211889.20816113,1001209.42440256,211916.5906523,"JACKSON AV","ORCHARD ST",70801,"POINT (-73.9386275625 40.7482471064)"
"539",10420297,"H","Direction TBD","Location Description T/K","B","MN042",985710.88322122,213601.59810905,985686.71346783,213557.69078941,"Street Name TBD","",1497,"POINT (-73.9947272058 40.7529634143)"
"546",10230128,"H","NE","NE corner of UNIVERSITY PL and E 8 ST","B","MN023",985761.69939256,205830.39088246,985727.36579982,205825.26064338,"UNIVERSITY PL","E 8 ST",571,"POINT (-73.9945455406 40.7316333795)"
"552",20710089,"H","NW","NW corner of E FORDHAM RD and GRAND CONCOURSE","B","BX071",1012611.63781856,253576.0289868,1012637.61578497,253538.88798496,"E FORDHAM RD","GRAND CONCOURSE",9514,"POINT (-73.8974649524 40.8626367191)"
"571",20310006,"H","SW","SW corner of 3 AV and E 163 ST","D","BX031",1009429.09464298,239483.55421905,1009469.0568334,239499.79992147,"3 AV","E 163 ST",20796,"POINT (-73.9090236177 40.8239666734)"
"572",10850233,"H","NW","NW corner of 2 AV and E 90 ST","D","MN085",998108.13500148,223686.41061655,998112.37711898,223647.41725622,"2 AV","E 90 ST",20042,"POINT (-73.9499607769 40.7806328683)"
"580",31040057,"H","S","S corner of 13 AV and BAY RIDGE AV","D","BKS104",983182.14352806,166419.82305022,983177.76459982,166477.10115089,"13 AV","BAY RIDGE AV",17204,"POINT (-74.0038467568 40.6234603575)"
"582",10710134,"H","SW","SW corner of W 72 ST and BROADWAY","B","MN071",989164.17519915,222963.18699738,989191.5186484,222988.69777313,"W 72 ST","BROADWAY",3755,"POINT (-73.982256328 40.7786573087)"
"595",10820119,"H","NE","NE corner of E 72 ST and LEXINGTON AV","B","MN082",994791.75187048,219978.86783479,994758.7220809,219977.46035729,"E 72 ST","LEXINGTON AV",4032,"POINT (-73.9619414522 40.7704612158)"
"603",10810237,"H","NW","NW corner of 1 AV and E 65 ST","D","MN081",995512.49747624,217469.27935004,995517.39871314,217429.34832755,"1 AV","E 65 ST",21251,"POINT (-73.959343573 40.7635721576)"
"604",30210097,"H","SE","SE corner of MONTAGUE ST and HENRY ST","B","BKN021",985857.09585531,192341.93065472,985840.55454981,192386.6100273,"MONTAGUE ST","HENRY ST",10593,"POINT (-73.9942045544 40.6946107553)"
"608",41380064,"H","W","W corner of 225 ST and MERRICK BLVD","O","QE138",1054948.91698898,186215.84448172,1054992.64721648,186223.05280063,"225 ST","MERRICK BLVD",36822,"POINT (-73.7451133584 40.6775138739)"
"613",10630080,"H","SW","SW corner of SUTTON PL S and E 56 ST","B","MN063",994927.36183548,214928.9645488,994970.67736565,214958.45431921,"SUTTON PL S","E 56 ST",2806,"POINT (-73.9614598853 40.7566003714)"
"616",10610114,"H","Direction TBD","Location Description T/K","B","MN061",988867.03832623,209026.84380713,987573.11835764,206592.36416081,"Street Name TBD","",2649,"POINT (-73.9833387747 40.7404057776)"
"624",40710098,"H","NE","NE corner of ROOSEVELT AV and LIPPMANN PLZ","D","QE071",1031993.97044489,216324.33019638,1031959.05155148,216290.08912313,"ROOSEVELT AV","LIPPMANN PLZ",20987,"POINT (-73.8276576485 40.7603078286)"
"627",10620180,"H","NE","NE corner of 3 AV and E 39 ST","B","MN062",991029.76398765,212121.62862805,990989.32706064,212108.30253922,"3 AV","E 39 ST",2968,"POINT (-73.975531159 40.7488987937)"
"628",10830148,"H","NE","NE corner of EAST END AV and E 80 ST","B","MN083",998840.59219798,220222.8437248,998805.90230672,220208.69677147,"EAST END AV","E 80 ST",3705,"POINT (-73.9473235275 40.7711251104)"
"632",10710199,"H","SE","SE corner of RIVERSIDE BLVD and W 68 ST","P","MN071",987429.09927298,222705.16881263,987422.69016506,222746.85770564,"RIVERSIDE BLVD","W 68 ST",7940,"POINT (-73.9885213097 40.7779499113)"
"633",30920039,"H","SW","SW corner of SCHENECTADY AV and E NEW YORK AV","D","BKN092",1002387.53097023,180602.73858197,1002408.53617756,180649.62234646,"SCHENECTADY AV","E NEW YORK AV",18906,"POINT (-73.9346247583 40.6623708988)"
"638",10420017,"H","NW","NW corner of 9 AV and W 34 ST","B","MN042",985257.27290797,213852.41125572,985259.27618481,213804.94645563,"9 AV","W 34 ST",817,"POINT (-73.9963643928 40.753651896)"
"646",41420161,"H","SW","SW corner of BEACH 59 ST and ROCKAWAY BEACH BLVD","D","QE142",1042812.93798015,155003.68905838,1042847.08423731,155050.94322896,"BEACH 59 ST","ROCKAWAY BEACH BLVD",14179,"POINT (-73.7891371757 40.591932002)"
"654",41210041,"H","Direction TBD","Location Description T/K","B","QE121",1040938.70386773,196601.15802863,1040974.21535159,196634.96291747,"Street Name TBD","",15889,"POINT (-73.795535955 40.7061198917)"
"659",30220167,"H","NW","NW corner of ATLANTIC AV and HICKS ST","B","BKN022",984849.37050857,191156.45205455,984855.65494481,191133.9648948,"ATLANTIC AV","HICKS ST",13321,"POINT (-73.9978386792 40.6913570163)"
