"","BASKETID","BASKETTYPE","DIRECTION","LOCATION_DESCRIPTION","OWNERTYPE","SECTION","STATEPLANE_LABELX","STATEPLANE_LABELY","STATEPLANE_SNAPPEDX","STATEPLANE_SNAPPEDY","STREETNAME1","STREETNAME2","OBJECTID","point"
"17256",10510579,"H","NE","NE corner of E 23 ST and MADISON AV","B","MN051",987663.02334581,209219.17609963,987618.35283148,209215.40182896,"E 23 ST","MADISON AV",2568,"POINT (-73.9876835327 40.7409342285)"
"17261",10110080,"H","SW","SW corner of MAIDEN LA and NASSAU ST","B","MN011",981718.93549648,197594.99429555,981766.44852482,197594.88996504,"MAIDEN LA","NASSAU ST",5077,"POINT (-74.0091293991 40.709028968)"
"17262",41420176,"H","SE","SE corner of CROSS BAY BLVD and E 16 RD","D","QE142",1034251.61947289,158438.82031147,1034206.20913064,158502.61578755,"CROSS BAY BLVD","E 16 RD",14771,"POINT (-73.8199377026 40.6014131563)"
"17263",10820071,"H","NW","NW corner of 3 AV and E 73 ST","B","MN082",995274.39394981,220036.6236248,995276.25713506,220003.07054231,"3 AV","E 73 ST",3445,"POINT (-73.9601988905 40.7706191516)"
"17267",31020044,"H","W","W corner of 5 AV and 84 ST","B","BKS102",977156.87014556,166180.21066855,977189.68766522,166205.21422747,"5 AV","84 ST",19109,"POINT (-74.0255514448 40.6227998965)"
"17271",10430313,"H","Direction TBD","Location Description T/K","P","MN043",986693.42915639,215287.98089114,986713.49558942,215324.05249729,"Street Name TBD","",1744,"POINT (-73.9911802709 40.757591889)"
"17274",10520812,"H","NE","NE corner of E 42 ST and 5 AV","B","MN052",989644.33040681,213828.36176313,989587.22684647,213803.08589505,"E 42 ST","5 AV",88855,"POINT (-73.9805299569 40.7535842982)"
"17276",30220125,"H","N","N corner of SMITH ST and WYCKOFF ST","D","BKN022",986759.4802054,189281.67299572,986763.12816398,189259.79541481,"SMITH ST","WYCKOFF ST",8999,"POINT (-73.9909515516 40.6862108431)"
"17286",10830028,"H","NE","NE corner of 3 AV and E 78 ST","B","MN083",996017.07323873,221133.17950255,995982.23997507,221121.84455146,"3 AV","E 78 ST",4630,"POINT (-73.9575156934 40.7736279533)"
"17293",11110171,"H","NW","NW corner of 3 AV and E 105 ST","D","MN111",999402.84599473,227518.95052363,999407.91881923,227461.46769896,"3 AV","E 105 ST",6280,"POINT (-73.9452771654 40.7911500402)"
"17294",10630067,"H","SE","SE corner of 1 AV and E 59 ST","B","MN063",994813.54874289,215950.91624504,994809.64422314,215989.63007838,"1 AV","E 59 ST",5514,"POINT (-73.9618690898 40.7594055041)"
"17301",11210040,"H","S","S corner of HAVEN AV and W 168 ST","P","MN121",1000022.17316814,246147.66162571,1000073.73999414,246170.84005705,"HAVEN AV","W 168 ST",7079,"POINT (-73.9429967551 40.8422795316)"
"17303",31430039,"H","SE","SE corner of FLATBUSH AV and FARRAGUT RD","B","BKS143",997932.04939565,170966.71487504,997903.40772064,171001.9382298,"FLATBUSH AV","FARRAGUT RD",12335,"POINT (-73.950703718 40.6359301136)"
"17304",30240030,"H","SE","SE corner of MYRTLE AV and CLINTON AVE","D","BKN024",992962.70730023,191742.38395354,992926.49838315,191780.32186981,"MYRTLE AV","CLINTON AVE",9622,"POINT (-73.9685813558 40.6929609956)"
"17306",30320103,"H","NW","NW corner of FULTON ST and ARLINGTON PL","B","BKN032",997731.2594429,187259.23215872,997766.95753422,187224.7837368,"FULTON ST","ARLINGTON PL",12588,"POINT (-73.9513945899 40.6806497937)"
"17313",10710252,"H","Direction TBD","Location Description T/K","B","MN071",988413.84730348,221122.82059938,988377.27767933,221142.69167115,"Street Name TBD","",36005,"POINT (-73.9849666864 40.7736063722)"
"17316",10520388,"H","SE","SE corner of PARK AV and E 41 ST","B","MN052",990357.71021365,212961.76014988,990342.34016565,213010.51202089,"PARK AV","E 41 ST",2402,"POINT (-73.9779559046 40.7512052323)"
"17317",31710042,"H","S","S corner of RUTLAND RD and E 98 ST","D","BKN171",1005639.68752365,181478.6830243,1005651.11171339,181511.72692147,"RUTLAND RD","E 98 ST",20763,"POINT (-73.9228998537 40.6647679122)"
"17321",10830146,"H","NW","NW corner of EAST END AV and E 80 ST","B","MN083",998741.0133289,220279.13002954,998745.68917257,220236.9775548,"EAST END AV","E 80 ST",3696,"POINT (-73.9476829161 40.7712797653)"
"17331",10830046,"H","SE","SE corner of 3 AV and E 81 ST","B","MN083",996378.82645223,221779.26219988,996367.7838234,221817.16468313,"3 AV","E 81 ST",4998,"POINT (-73.9562084393 40.7754007917)"
"17345",40830072,"H","SE","SE corner of MELBOURNE AV and MAIN ST","D","QE083",1032739.12938765,206726.94847255,1032694.13505507,206746.21352588,"MELBOURNE AV","MAIN ST",11712,"POINT (-73.8250370367 40.7339614241)"
